ga_session_id,session_duration_sec,product_views,add_to_cart,add_payment,total_engagement_ms,country,session_number,purchased,device_type_mobile,device_type_tablet,region_Asia,region_Europe,region_Latin America,region_Middle East,region_North America,region_Oceania,region_Other,cluster
551639,0.0,0,0,0,0.0,India,3,0,True,False,True,False,False,False,False,False,False,0
866220,1.225121,0,0,0,1238.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
914067,2.329032,0,0,0,2318.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
1136956,8.278364,0,0,0,8268.0,China,1,0,True,False,True,False,False,False,False,False,False,0
1215407,4.93725,0,0,0,18.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
2222164,33.281582,0,0,0,25173.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
2506079,5.50295,0,0,0,62.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
2709279,99.011716,0,0,0,66113.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
2736959,186.36,4,0,0,66113.0,Canada,1,0,True,False,False,False,False,False,True,False,False,2
3120187,5.988363,0,0,0,5977.0,United States,3,0,True,False,False,False,False,False,True,False,False,0
3290343,32.613567,0,0,0,28392.0,Norway,1,0,False,False,False,True,False,False,False,False,False,0
3669802,28.368659,0,0,0,28842.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
4483682,6.265874,0,0,0,1135.0,United States,3,0,True,False,False,False,False,False,True,False,False,0
4519529,15.898303,0,0,0,15847.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
4734557,4.923971,0,0,0,85.0,United Kingdom,1,0,True,False,False,True,False,False,False,False,False,0
4820265,186.36,0,0,0,13913.0,China,2,0,False,False,True,False,False,False,False,False,False,2
6551329,2.899155,0,0,0,2869.0,India,1,0,False,False,True,False,False,False,False,False,False,0
6834629,4.996899,0,0,0,3.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
7507629,4.654967,0,0,0,7.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
8665443,3.135276,0,0,0,3142.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
9849060,16.837689,0,0,0,16227.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
10205627,92.164747,0,0,0,66113.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
10658114,74.834774,1,0,0,66113.0,United States,3,0,False,False,False,False,False,False,True,False,False,2
10888282,18.636719,0,0,0,18631.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
11315752,0.0,0,0,0,0.0,India,2,0,False,False,True,False,False,False,False,False,False,0
11458086,2.425633,0,0,0,2413.0,Israel,1,0,True,False,False,False,False,True,False,False,False,0
12765431,2.11731,1,0,0,2103.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
13325733,67.589103,0,0,0,51836.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
13732230,125.744997,2,1,0,40191.0,Indonesia,1,0,False,False,True,False,False,False,False,False,False,2
13872081,0.0,0,0,0,0.0,Belgium,3,0,False,False,False,True,False,False,False,False,False,0
14090913,8.238601,0,0,0,8247.0,Egypt,1,0,False,False,False,False,False,False,False,False,False,0
14628730,0.0,0,0,0,0.0,Canada,1,0,False,False,False,False,False,False,True,False,False,0
15661442,3.160825,0,0,0,3055.0,Puerto Rico,2,0,False,False,False,False,False,False,False,False,True,0
15680155,5.556111,0,0,0,0.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
15920079,82.675084,0,0,0,66113.0,Ecuador,1,0,True,False,False,False,False,False,False,False,True,2
16303218,186.36,0,0,0,33753.0,Canada,2,0,False,False,False,False,False,False,True,False,False,2
16399022,5.030938,0,0,0,991.0,Ireland,2,0,True,False,False,True,False,False,False,False,False,0
18094997,56.844706,0,0,0,21290.0,India,1,0,True,False,True,False,False,False,False,False,False,0
18330709,67.800169,0,0,0,54787.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
18380275,14.229995,1,0,0,14252.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
19010969,8.172904,0,0,0,8591.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
19276995,6.326565,0,0,0,6116.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
19494359,186.36,2,0,0,66113.0,India,1,0,False,False,True,False,False,False,False,False,False,2
19646326,9.027896,0,0,0,9014.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
19715471,155.189658,0,0,0,4643.0,Singapore,1,0,False,False,True,False,False,False,False,False,False,2
19963061,14.802129,0,0,0,9766.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
20247616,0.0,0,0,0,0.0,Netherlands,2,0,True,False,False,True,False,False,False,False,False,0
20300931,104.463659,0,0,0,66113.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
20335894,20.001817,0,0,0,17222.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
20651660,3.016988,0,0,0,3101.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
21111819,5.676341,0,0,0,5674.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
21669412,17.281533,0,0,0,5075.0,Germany,1,0,False,False,False,True,False,False,False,False,False,0
21821617,186.36,4,0,0,66113.0,United States,3,0,False,True,False,False,False,False,True,False,False,2
21961494,7.847925,0,0,0,7824.0,Canada,1,0,False,True,False,False,False,False,True,False,False,0
21997074,6.931071,0,0,0,6046.0,Turkey,1,0,True,False,False,False,False,True,False,False,False,0
22145160,0.0,0,0,0,0.0,Indonesia,1,0,False,False,True,False,False,False,False,False,False,0
22956722,5.727487,1,0,0,0.0,Canada,2,0,False,False,False,False,False,False,True,False,False,0
23077856,6.33041,0,0,0,0.0,Germany,3,0,True,False,False,True,False,False,False,False,False,0
23768618,3.515746,0,0,0,1906.0,India,3,0,False,False,True,False,False,False,False,False,False,0
23770398,0.0,0,0,0,0.0,Uruguay,2,0,False,False,False,False,False,False,False,False,True,0
24417147,5.052916,0,0,0,131.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
24755603,1.442012,0,0,0,1355.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
24848136,2.479244,0,0,0,2472.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
25367994,26.865255,0,0,0,21432.0,France,1,0,True,False,False,True,False,False,False,False,False,0
25888937,2.968836,0,0,0,3035.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
26078811,5.090013,0,0,0,46.0,India,1,0,True,False,True,False,False,False,False,False,False,0
26118186,186.36,1,0,0,5268.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
26202224,33.215334,0,0,0,7050.0,Taiwan,1,0,False,False,True,False,False,False,False,False,False,0
26407772,5.046986,0,0,0,0.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
27366622,9.672368,0,0,0,9659.0,India,1,0,False,False,True,False,False,False,False,False,False,0
27701548,9.032435,0,0,0,9001.0,Spain,1,0,True,False,False,True,False,False,False,False,False,0
27819182,4.980357,0,0,0,0.0,Algeria,2,0,True,False,False,False,False,False,False,False,True,0
27819489,5.345325,0,0,0,4853.0,India,1,0,False,False,True,False,False,False,False,False,False,0
28457424,0.0,0,0,0,0.0,Netherlands,2,0,False,False,False,True,False,False,False,False,False,0
28710568,5.115252,0,0,0,0.0,Australia,1,0,True,False,False,False,False,False,False,True,False,0
29067330,186.36,2,0,0,66113.0,Netherlands,1,0,False,False,False,True,False,False,False,False,False,2
29199489,186.36,0,0,0,66113.0,South Korea,1,0,True,False,True,False,False,False,False,False,False,2
29472712,5.069678,0,0,0,336.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
29553623,20.040618,0,0,0,14324.0,Philippines,1,0,False,False,True,False,False,False,False,False,False,0
29879665,186.36,5,2,0,66113.0,Canada,1,0,False,False,False,False,False,False,True,False,False,2
29888115,2.980632,0,0,0,2982.0,United Kingdom,1,0,True,False,False,True,False,False,False,False,False,0
30127471,0.0,0,0,0,0.0,United States,8,0,False,False,False,False,False,False,True,False,False,0
30453693,5.62863,0,0,0,0.0,Taiwan,1,0,False,False,True,False,False,False,False,False,False,0
30469591,0.0,0,0,0,0.0,India,2,0,False,False,True,False,False,False,False,False,False,0
30483508,11.476285,1,0,0,5081.0,Japan,1,0,True,False,True,False,False,False,False,False,False,0
30866336,146.910112,2,0,0,37292.0,Canada,2,0,False,False,False,False,False,False,True,False,False,2
30971033,5.914726,0,0,0,5880.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
31065861,0.0,0,0,0,0.0,United States,3,0,False,False,False,False,False,False,True,False,False,0
31249700,27.615736,0,0,0,22020.0,Canada,1,0,False,False,False,False,False,False,True,False,False,0
32324621,11.817155,0,0,0,11817.0,Hong Kong,1,0,False,False,True,False,False,False,False,False,False,0
32971098,16.196202,0,0,0,212.0,United Kingdom,1,0,False,False,False,True,False,False,False,False,False,0
33004003,5.015136,0,0,0,22.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
33374918,5.653584,0,0,0,0.0,Portugal,1,0,False,False,False,True,False,False,False,False,False,0
33767455,15.377708,0,0,0,16128.0,Brazil,2,0,True,False,False,False,True,False,False,False,False,0
34132933,186.36,0,0,0,20682.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
